date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FC%,FS%,SL%,CU%,wFA/C,wFC/C,wFS/C,wSI/C,wSL/C,wCU/C,vFA,vFC,vFS,vSI,vSL,vCU,SI_ba,SI_slg,SI_whiff,FS_ba,FS_slg,FS_whiff,SL_ba,SL_slg,SL_whiff,FC_ba,FC_slg,FC_whiff,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,Stf+ CH,Loc+ CH,Pit+ CH,CH%,wCH/C,vCH,CH_ba,CH_slg,CH_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,SV_ba,SV_slg,SV_whiff,ST_ba,ST_slg,ST_whiff
2024-05-05,745587,Home Run,home_run,False,656883,621237,Jakson Reetz,José Alvarado,0,f0a16e6d-1150-4910-8582-9357a36ddafd,621237.0,josealvarado,Alvarado,Left,José Alvarado,PHI,4.35,3.64,39.1,95.0,88.0,95.0,0.755,9.38,3.89,7.32,0.69,1.35,0.292,0.406,0.189,0.311,0.413,,,,,,,100.0,94.0,95.0,,,,69.0,97.0,94.0,,,,0.597,,0.403,,,,,1.06,,0.58,,,,92.6,,97.8,,,0.27,0.416,0.132,,,,,,,0.14,0.158,0.432,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-06,745585,Strikeout,strikeout,True,656883,554430,Jakson Reetz,Zack Wheeler,0,201b4329-2eab-43be-a331-65dad64dc940,554430.0,zackwheeler,Wheeler,Right,Zack Wheeler,PHI,2.7,2.9,116.2,104.0,106.0,108.0,0.749,9.72,2.7,6.25,0.85,1.17,0.274,0.341,0.221,0.284,0.425,114.0,99.0,107.0,101.0,107.0,109.0,109.0,103.0,108.0,128.0,107.0,114.0,95.0,98.0,98.0,96.0,106.0,107.0,0.187,0.416,0.104,0.078,0.116,0.099,0.69,-0.15,0.85,2.48,1.61,-0.34,95.1,90.9,86.1,94.4,84.4,81.5,0.173,0.24,0.149,0.171,0.257,0.385,0.14,0.2,0.327,0.244,0.439,0.184,0.219,0.391,0.294,0.179,0.333,0.357,,,,,,,,,,,,,,,,,,,,,
2024-05-06,745585,Flyout,field_out,True,656883,554430,Jakson Reetz,Zack Wheeler,0,023bb848-8457-4e83-8d38-7cd519734d84,554430.0,zackwheeler,Wheeler,Right,Zack Wheeler,PHI,2.7,2.9,116.2,104.0,106.0,108.0,0.749,9.72,2.7,6.25,0.85,1.17,0.274,0.341,0.221,0.284,0.425,114.0,99.0,107.0,101.0,107.0,109.0,109.0,103.0,108.0,128.0,107.0,114.0,95.0,98.0,98.0,96.0,106.0,107.0,0.187,0.416,0.104,0.078,0.116,0.099,0.69,-0.15,0.85,2.48,1.61,-0.34,95.1,90.9,86.1,94.4,84.4,81.5,0.173,0.24,0.149,0.171,0.257,0.385,0.14,0.2,0.327,0.244,0.439,0.184,0.219,0.391,0.294,0.179,0.333,0.357,,,,,,,,,,,,,,,,,,,,,
2024-05-06,745585,Strikeout,strikeout,True,656883,621381,Jakson Reetz,Matt Strahm,0,0fe9c651-b3a8-4e51-9a88-2fd51fab8816,621381.0,mattstrahm,Strahm,Left,Matt Strahm,PHI,1.49,2.54,36.1,109.0,106.0,110.0,0.742,11.64,1.24,5.94,0.25,0.59,0.265,0.373,0.169,0.349,0.513,,,,104.0,112.0,115.0,103.0,104.0,99.0,118.0,111.0,113.0,99.0,104.0,97.0,,,,0.149,0.554,0.104,,0.192,,1.87,4.44,,-0.14,1.74,,93.4,88.0,,93.4,81.4,,0.333,0.389,0.184,,,,0.091,0.182,0.372,0.1,0.2,0.282,0.195,0.312,0.26,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-09,746563,Groundout,field_out,True,656883,615698,Jakson Reetz,Cal Quantrill,0,31d908e6-5006-4677-8a44-a2699a97b75c,615698.0,calquantrill,Quantrill,Right,Cal Quantrill,COL,4.15,4.48,108.1,97.0,93.0,95.0,0.8,6.9,3.41,8.64,1.16,1.47,0.223,0.427,0.134,0.357,0.414,96.0,101.0,104.0,,,,79.0,97.0,90.0,,,,80.0,99.0,95.0,115.0,95.0,98.0,0.397,,0.134,0.336,,0.107,,-1.43,1.52,-1.66,,0.34,,87.7,86.1,93.8,,79.9,0.322,0.573,0.2,0.178,0.253,0.253,,,,0.347,0.571,0.173,,,,0.242,0.424,0.267,88.0,97.0,103.0,0.025,1.78,84.9,0.222,0.222,0.167,,,,,,,,,,,,
2024-05-09,746563,Groundout,field_out,True,656883,615698,Jakson Reetz,Cal Quantrill,0,4a72f53f-83b6-48cf-b3b8-76af8e9d3b03,615698.0,calquantrill,Quantrill,Right,Cal Quantrill,COL,4.15,4.48,108.1,97.0,93.0,95.0,0.8,6.9,3.41,8.64,1.16,1.47,0.223,0.427,0.134,0.357,0.414,96.0,101.0,104.0,,,,79.0,97.0,90.0,,,,80.0,99.0,95.0,115.0,95.0,98.0,0.397,,0.134,0.336,,0.107,,-1.43,1.52,-1.66,,0.34,,87.7,86.1,93.8,,79.9,0.322,0.573,0.2,0.178,0.253,0.253,,,,0.347,0.571,0.173,,,,0.242,0.424,0.267,88.0,97.0,103.0,0.025,1.78,84.9,0.222,0.222,0.167,,,,,,,,,,,,
2024-05-09,746563,Grounded Into DP,grounded_into_double_play,True,656883,680767,Jakson Reetz,Victor Vodnik,1,a0066240-c20b-4a64-9a48-a3a92d3a258f,680767.0,victorvodnik,Vodnik,Right,Victor Vodnik,COL,4.03,4.36,51.1,99.0,122.0,102.0,0.797,8.24,4.03,8.94,0.88,1.93,0.25,0.342,0.171,0.408,0.422,,,,124.0,98.0,100.0,,,,120.0,105.0,107.0,,,,,,,,0.643,,,0.2,,-0.34,,,,-0.07,,97.7,,,,84.1,,,,,,,,0.268,0.341,0.268,,,,0.271,0.426,0.196,,,,114.0,99.0,100.0,0.157,1.35,89.9,0.172,0.172,0.254,,,,,,,,,,,,
2024-05-10,745340,Flyout,field_out,True,656883,671096,Jakson Reetz,Andrew Abbott,0,3ad49b39-36df-44c0-a91d-625e7967ad65,671096.0,andrewabbott,"Abbott, A",Left,Andrew Abbott,CIN,3.39,3.51,106.1,98.0,91.0,96.0,0.81,7.28,3.39,7.53,1.52,0.68,0.256,0.358,0.177,0.256,0.427,99.0,98.0,100.0,77.0,96.0,89.0,,,,124.0,104.0,111.0,,,,,,,,0.546,,,0.165,0.121,0.21,,,,0.44,-1.54,92.9,,,,82.8,80.7,,,,,,,0.188,0.302,0.253,,,,0.233,0.406,0.193,0.324,0.676,0.147,99.0,92.0,97.0,0.167,0.81,84.7,0.167,0.379,0.285,,,,,,,,,,,,
2024-05-10,745340,Groundout,field_out,True,656883,671096,Jakson Reetz,Andrew Abbott,0,aa77f4c4-ab5d-4b11-8cd8-c03ae33d2f0f,671096.0,andrewabbott,"Abbott, A",Left,Andrew Abbott,CIN,3.39,3.51,106.1,98.0,91.0,96.0,0.81,7.28,3.39,7.53,1.52,0.68,0.256,0.358,0.177,0.256,0.427,99.0,98.0,100.0,77.0,96.0,89.0,,,,124.0,104.0,111.0,,,,,,,,0.546,,,0.165,0.121,0.21,,,,0.44,-1.54,92.9,,,,82.8,80.7,,,,,,,0.188,0.302,0.253,,,,0.233,0.406,0.193,0.324,0.676,0.147,99.0,92.0,97.0,0.167,0.81,84.7,0.167,0.379,0.285,,,,,,,,,,,,
2024-05-10,745340,Flyout,field_out,True,656883,458677,Jakson Reetz,Justin Wilson,0,d96c2c56-3577-4bea-b532-c3cae583c1e1,458677.0,justinwilson,Wilson,Left,Justin Wilson,CIN,4.38,2.44,24.2,102.0,104.0,102.0,0.769,10.95,2.19,10.22,1.09,0.97,0.423,0.31,0.211,0.31,0.455,,,,102.0,101.0,102.0,,,,130.0,100.0,101.0,90.0,107.0,106.0,42.0,61.0,88.0,,0.499,0.254,0.018,0.229,,-1.47,2.12,2.17,,-0.34,,95.3,92.1,86.4,,88.2,,,,,,,,0.231,0.269,0.348,0.296,0.444,0.149,0.304,0.478,0.32,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-13,745343,Strikeout,strikeout,True,656883,681911,Jakson Reetz,Alex Vesia,0,d9f876df-c9ae-4a01-9013-ec02e65a84bb,681911.0,alexvesia,Vesia,Left,Alex Vesia,LAD,1.25,2.56,43.1,102.0,122.0,106.0,0.71,11.84,3.74,4.15,0.83,0.33,0.326,0.303,0.225,0.247,0.421,,,,130.0,101.0,106.0,,,,112.0,106.0,107.0,,,,,,,,0.649,,,0.309,,2.08,,,,0.75,,93.6,,,,85.5,,,,,,,,0.171,0.22,0.43,,,,0.128,0.287,0.293,,,,80.0,101.0,94.0,0.043,1.68,86.2,0.125,0.125,0.2,,,,,,,,,,,,
2024-05-13,745343,Strikeout,strikeout,True,656883,595014,Jakson Reetz,Blake Treinen,0,9c247e0c-3d61-474f-b91b-98568acdb8f2,595014.0,blaketreinen,Treinen,Right,Blake Treinen,LAD,2.28,2.52,23.2,101.0,90.0,103.0,0.746,11.03,2.66,6.85,0.76,1.0,0.241,0.397,0.121,0.293,0.42,,,,66.0,108.0,99.0,76.0,101.0,105.0,137.0,100.0,107.0,43.0,100.0,99.0,,,,0.351,0.088,0.21,,0.351,,2.11,-0.93,,0.43,1.1,,94.3,90.8,,94.6,84.0,,0.207,0.241,0.19,,,,0.158,0.263,0.541,0.385,0.769,0.048,0.143,0.143,0.143,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-08,744819,Strikeout,strikeout,True,656883,687792,Jakson Reetz,DJ Herz,0,766eaf36-506c-40ed-ab9c-6c1135694a7e,687792.0,djherz,Herz,Left,DJ Herz,WSN,3.84,3.35,65.2,98.0,96.0,97.0,0.728,11.38,3.29,8.22,1.37,0.84,0.264,0.448,0.138,0.351,0.435,,,,91.0,99.0,97.0,,,,106.0,93.0,98.0,,,,,,,,0.543,,,0.177,,0.36,,,,-2.29,,93.5,,,,86.2,,,,,,,,0.26,0.54,0.268,,,,0.254,0.377,0.322,0.25,0.25,0.615,106.0,100.0,99.0,0.244,0.85,83.5,0.181,0.347,0.261,98.0,66.0,79.0,0.035,0.97,81.0,,,,,,
2024-08-08,744819,Double,double,False,656883,674285,Jakson Reetz,Eduardo Salazar,0,b0aebc6e-791a-4f09-8225-e803e39075ee,674285.0,eduardosalazar,Salazar,Right,Eduardo Salazar,- - -,1.29,4.09,21.0,94.0,104.0,95.0,0.762,9.0,4.29,8.57,0.43,2.62,0.197,0.443,0.164,0.279,0.401,,,,80.0,104.0,96.0,93.0,93.0,88.0,119.0,93.0,101.0,,,,,,,0.466,0.06,,,0.466,0.003,0.85,,,0.71,0.73,-3.49,95.7,,,94.4,87.9,81.6,0.324,0.378,0.066,,,,0.15,0.25,0.408,,,,0.25,0.25,0.25,,,,,,,0.006,-26.48,90.7,,,,,,,,,,,,,,,
2024-08-08,744819,Walk,walk,False,656883,606930,Jakson Reetz,Jacob Barnes,0,1e878cef-3b33-452f-83a5-7d5db1c13907,606930.0,jacobbarnes,"Barnes, J",Right,Jacob Barnes,WSN,3.38,4.26,58.2,101.0,96.0,101.0,0.778,7.36,2.3,7.98,1.07,1.06,0.267,0.349,0.145,0.256,0.396,,,,104.0,103.0,107.0,,,,87.0,84.0,90.0,88.0,101.0,96.0,,,,,0.478,0.499,,0.023,,-0.3,1.77,,,1.08,,95.4,89.9,,,83.7,,,,,,,,0.0,0.0,0.625,0.237,0.325,0.303,0.253,0.475,0.193,,,,,,,,,,,,,,,,,,,,,,,,
